ticker,yf_bars,al_bars,bar_coverage,vol_coverage,matched_bars,close_mae_bps
CHSN,1515,226,0.1419141914191419,0.0017144194702097902,215,58.160554619809005
EDBL,4150,791,0.18650602409638553,0.001896222554090563,774,54.316399031254036
PMAX,1340,114,0.06791044776119402,0.0019173074155015904,91,54.98810785734849
ERNA,1289,190,0.1404189294026377,0.0021881091784551002,181,55.74476511531672
SUGP,2914,371,0.11427590940288264,0.002251574258082247,333,45.531655262209384
VIVK,6556,1160,0.17571690054911532,0.0024491852545629237,1152,1431.850751633152
YHC,4209,476,0.11142789261107151,0.0025841700872372675,469,50.18862342159235
RUBI,2491,191,0.07426736250501806,0.002691730185695607,185,99.61443836664108
KIDZ,6055,1488,0.24178364987613543,0.0027260731792051805,1464,58.39890762644758
CYCU,3857,1027,0.24812030075187969,0.002785909685096274,957,73.27866590770728
DXST,1170,161,0.13418803418803418,0.0028464559117426904,157,43.52299298680058
EZRA,1515,293,0.1782178217821782,0.0029680990927927284,270,68.70858331395006
IOTR,955,215,0.20732984293193718,0.003238212340593554,198,60.01866223143333
JZXN,3473,525,0.14857471926288512,0.0032787523185643006,516,80.5265871244318
EHGO,3750,515,0.1352,0.0033072787929815032,507,53.435785871930044
ZCMD,5043,1111,0.21673606979972238,0.003435650431637032,1093,80.39711311958219
BJDX,4489,870,0.1777678770327467,0.0035100105107741023,798,46.420515241488225
HIHO,1723,284,0.16192687173534534,0.0035466335114383548,279,61.67935736980166
JLHL,4731,561,0.1170999788628197,0.003570523983201165,554,99.354149358265
TGHL,3550,780,0.21070422535211267,0.003640014203360255,748,59.27517075293384
RDGT,3094,299,0.09146735617323852,0.003753494602899126,283,59.35014521297348
LGCL,3097,489,0.14368743945753956,0.0038042063970233396,445,51.450376056851866
KUST,4771,1013,0.20561727101236638,0.003808377604140388,981,57.242833279603005
WOK,2587,214,0.07383069192114418,0.003896555177368972,191,49.643254587538415
CRE,1449,213,0.12491373360938578,0.003919149271656089,181,85.11775126036025
PSNYW,531,35,0.05273069679849341,0.004031453601045916,28,139.35021475719435
DCX,1710,245,0.13391812865497077,0.004073797526437784,229,69.42013822432762
EVGN,1740,210,0.11666666666666667,0.004094490220700807,203,51.52829161199064
KWM,2440,447,0.17049180327868851,0.004134454065764317,416,50.93528611996611
WBUY,2157,425,0.18776077885952713,0.004134636890229613,405,54.92409440713551
ELPW,6390,1301,0.19984350547730828,0.0041700907735729474,1277,45.86456137141646
VCIG,3448,476,0.12848027842227377,0.004190025621523787,443,71.34521908655137
ONMD,1734,172,0.09054209919261823,0.004250073477895853,157,70.40800547259914
RPGL,1551,317,0.16956802063185042,0.004342709361177344,263,52.935268520886886
MIMI,1776,285,0.14808558558558557,0.004450046000614902,263,47.65293084049214
POLA,1298,268,0.1856702619414484,0.0044651311874746216,241,54.45621188808144
STAK,4784,858,0.17600334448160534,0.004522614508214131,842,90.94232208630383
VMAR,5675,737,0.1275770925110132,0.00453052424773035,724,61.11106341570289
TDTH,2520,523,0.19404761904761905,0.004723989992963336,489,66.65157693221917
BNRG,3390,439,0.12094395280235988,0.004742765863039509,410,72.81098464037625
CISS,3178,831,0.25204531151667714,0.004766351417846791,801,70.42422032373129
MSS,3701,404,0.10078357200756552,0.004881996348634279,373,158.33152636625985
WFF,519,87,0.1329479768786127,0.004954712080246368,69,95.3600499205893
LICN,2049,305,0.14153245485602733,0.004989710856309956,290,89.68269107466112
SNTG,769,62,0.07802340702210664,0.005007126720429187,60,94.77134716435458
GMEX,3393,782,0.20837017388741527,0.005015608176673929,707,51.344053386209644
OMH,3887,1241,0.3110367892976589,0.005100095367445462,1209,80.99706886032185
CYAB,1385,93,0.05415162454873646,0.005212141264086683,75,76.21496012717515
SLGB,2283,522,0.21287779237844942,0.0053164788412069066,486,62.25619373434201
WLDS,2946,603,0.2023082145281738,0.005350477276384343,596,82.05517504932548
ZYBT,2351,494,0.20416843896214376,0.005400761137650348,480,81.84425217023451
NXTC,3563,1098,0.2879595846197025,0.005499726400368657,1026,51.75590428793667
LEDS,2336,602,0.23501712328767124,0.00553780791973769,549,74.73221498340864
ADVB,2541,577,0.2243211334120425,0.005599071162615246,570,92.80954006375822
LIMN,6370,1430,0.21554160125588698,0.005690905073191104,1373,38.24205554994106
BTOG,1672,137,0.07416267942583732,0.005893163775868892,124,90.63892328778141
ZBAO,5163,1834,0.34921557234166184,0.005894761064009786,1803,69.92991505399772
XWEL,856,53,0.04789719626168224,0.005939826233172429,41,109.30262160142544
LHAI,4517,685,0.14611467788355104,0.006315654954830013,660,53.052057037234476
RKTO,4613,777,0.14914372425753306,0.0063470425214590745,688,39.62367627658327
SOBR,4017,907,0.22404779686333084,0.006545719080874229,900,68.36358284619783
BIYA,5449,1483,0.26885667094879795,0.0066006600792929615,1465,68.68613695280689
TRUG,1929,322,0.14618973561430793,0.006610336475533937,282,56.11808639672969
CIGL,752,281,0.30319148936170215,0.006797774903994079,228,150.4658330897966
LOBO,788,35,0.03680203045685279,0.006843665349260624,29,88.67497872524643
HAO,5005,1058,0.200999000999001,0.006874339055429658,1006,71.12907511755499
LUCY,4102,862,0.20112140419307656,0.007010451153496846,825,53.58431991972916
PPCB,1606,210,0.1133250311332503,0.007188394214781566,182,76.59147583499613
CJMB,3563,749,0.20853213584058378,0.007296041962938214,743,64.09559921558214
VIVS,4218,641,0.14509246088193456,0.007399213921003332,612,49.48526054905758
CNET,959,62,0.06465067778936393,0.00740926058364124,62,204.26726930100654
IMNN,1088,134,0.09466911764705882,0.0075076371922497285,103,53.60264689699317
FUSE,781,245,0.3111395646606914,0.007808393983786913,243,81.93418649537539
XCUR,1268,139,0.09069400630914827,0.008075775676674108,115,78.73576958383076
TVRD,4405,1517,0.3287173666288309,0.008360022235143847,1448,43.17185363797896
NEUP,1068,176,0.14700374531835206,0.00840214465858347,157,40.14409429315822
BRAI,2027,159,0.06956092747903306,0.008403317828728624,141,88.30677413671795
GCTK,4377,852,0.18939913182545123,0.00842494587461503,829,62.28272034647208
DAIC,1422,164,0.09845288326300984,0.008547888609732993,140,75.59086320351977
VSME,781,31,0.03841229193341869,0.008657053340886059,30,251.0965198301861
PCSA,1493,289,0.174146014735432,0.008760400282860147,260,54.72002820032012
AKAN,898,83,0.08240534521158129,0.008765672649282134,74,128.64330126270556
CCTG,1922,240,0.10926118626430802,0.009007652856339709,210,75.2608706930961
GLXG,1039,136,0.11742059672762271,0.009045961310444222,122,70.68830551178259
YDES,1203,98,0.06151288445552785,0.00918514405452373,74,152.035800574135
ZTG,853,48,0.04337631887456037,0.00940663059063602,37,107.53089794019273
ELAB,4239,986,0.20665251238499646,0.01028524690955333,876,32.813198918639486
PLUR,315,16,0.0380952380952381,0.011223150463825183,12,63.90036648320487
ENTX,2855,793,0.2637478108581436,0.011228757251422,753,42.95688670793528
FFAI,7670,2859,0.3704041720990874,0.011316149815462691,2841,2389.4374044459173
LVWR,5494,1797,0.32708409173643976,0.011333531336535871,1797,45.936583510423915
GVH,2747,399,0.13396432471787403,0.011341638459250908,368,78.41654131457902
PFSA,2095,128,0.057756563245823386,0.012400614519759729,121,2690.1942204762618
CLIK,937,94,0.08110992529348986,0.012450541247951977,76,81.35970306983259
GIPR,2042,165,0.06513222331047992,0.012531743151071008,133,3667.392224022072
