ticker,date,prior_close,open_price,gap_pct,high,low,close_price,volume,avg_volume,volume_ratio,daily_gain_high_from_open,daily_drawdown_low_from_open,close_vs_open_pct,intraday_open,max_gain_from_open,max_drawdown_from_open,max_drawdown_before_peak,risk_reward,time_of_peak,minutes_to_peak,time_of_low,intraday_high,intraday_low,intraday_close,intraday_source,bars,gap_bucket,price_bucket,trade_outcome,trade_entry_price,trade_exit_price,trade_exit_time,trade_return_pct,trade_minutes_held,trade_bars_held,trade_mfe_pct,trade_mae_pct
ANGH,2025-12-31,2.319999933242798,4.090000152587891,76.29311509811387,4.190000057220459,3.559999942779541,3.7699999809265137,43264100,214160.0,202.0176503548749,2.44498535212266,12.958439854164784,-7.823964785402302,,,,,,,,,,,,,,50%+,$3-7,no_data,,,,,,,,
ALT,2026-01-05,3.509999990463257,4.09499979019165,16.66666100620656,4.53000020980835,3.9600000381469727,4.090000152587891,27007100,5726050.0,4.716532339046987,10.622721414018454,3.296697410535389,-0.122091278630463,,,,,,,,,,,,,,10-20%,$3-7,no_data,,,,,,,,
AIFC,2026-01-05,1.2100000381469729,1.309999942779541,8.264454667762736,1.5499999523162842,1.2899999618530271,1.5099999904632568,8258100,4076130.0,2.0259658058010905,18.320612215258137,1.5267161679471504,15.267179879363834,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
ACRV,2026-01-07,3.009999990463257,3.309999942779541,9.966775856039536,3.559999942779541,2.859999895095825,2.950000047683716,3058200,607830.0,5.031340999950644,7.552870221202024,13.595167838759313,-10.876129949220443,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ALLO,2026-01-09,1.4900000095367432,1.659999966621399,11.409393019904112,1.8799999952316284,1.659999966621399,1.7100000381469729,12310500,2917860.0,4.219016676605458,13.25301403818676,0.0,3.012052562105707,,,,,,,,,,,,,,10-20%,$1-3,no_data,,,,,,,,
ALLO,2026-01-12,1.7100000381469729,1.840000033378601,7.6023387328401375,1.840000033378601,1.649999976158142,1.6699999570846558,8560000,4043760.0,2.116841751241419,0.0,10.326089879008403,-9.239134413589756,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
AMPG,2026-01-12,3.2799999713897705,3.5,6.707318003939286,4.070000171661377,3.5,3.880000114440918,1957900,550760.0,3.5549059481443823,16.285719190325057,0.0,10.85714612688337,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ALP,2026-01-13,0.9100000262260436,1.8200000524520872,100.0,3.299999952316284,1.2999999523162842,1.2999999523162842,174313000,5485270.0,31.778381009503633,81.31867347312391,28.571433249971985,-28.571433249971985,,,,,,,,,,,,,,50%+,$1-3,no_data,,,,,,,,
AIFC,2026-01-14,1.809999942779541,2.1600000858306885,19.337025089275247,2.4000000953674316,2.049999952316284,2.369999885559082,22006000,4606090.0,4.777587932498062,11.11111111111111,5.092598571453328,9.722212564062572,,,,,,,,,,,,,,10-20%,$1-3,no_data,,,,,,,,
ACCL,2026-01-16,2.990000009536743,4.329999923706055,44.81605049817123,4.630000114440918,2.4600000381469727,2.5,24515400,166440.0,147.2927180966114,6.928410993552457,43.18706509256808,-42.26327842841518,,,,,,,,,,,,,,20-50%,$3-7,no_data,,,,,,,,
AISP,2026-01-16,3.5999999046325684,3.859999895095825,7.222222148636239,4.320000171661377,3.7300000190734863,4.320000171661377,4448000,807910.0,5.5055637385352325,11.917105934380658,3.367872527341392,11.917105934380658,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ACRS,2026-01-20,2.619999885559082,2.950000047683716,12.59542658545632,4.889999866485596,2.950000047683716,4.429999828338623,34893400,992260.0,35.16558160159636,65.76270465911114,0.0,50.16948327905876,,,,,,,,,,,,,,10-20%,$1-3,no_data,,,,,,,,
ADTN,2026-01-22,9.289999961853027,9.829999923706056,5.812701443168966,10.350000381469728,9.789999961853027,9.899999618530272,2469400,1052860.0,2.345421043633531,5.289933487279459,0.4069172142775233,0.7121026995677517,,,,,,,,,,,,,,5-10%,$7-10,no_data,,,,,,,,
ABOS,2026-01-26,1.9800000190734863,2.4100000858306885,21.71717487954443,3.009999990463257,2.009999990463257,2.0799999237060547,12221700,201390.0,60.686727245642786,24.896260716345907,16.597513739488438,-13.692952297588324,,,,,,,,,,,,,,20-50%,$1-3,no_data,,,,,,,,
ABOS,2026-01-27,2.0799999237060547,2.240000009536743,7.692312100935427,2.7279999256134033,2.2300000190734863,2.7200000286102295,6491700,1395100.0,4.653214823310157,21.785710446384503,0.4464281437804522,21.428572188834753,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
AIMD,2026-01-28,1.7200000286102295,2.049999952316284,19.18604175679559,2.4600000381469727,1.940000057220459,2.130000114440918,34376000,118240.0,290.73071718538563,20.000004652069943,5.36584866607128,3.902447023681246,,,,,,,,,,,,,,10-20%,$1-3,no_data,,,,,,,,
AMTX,2026-01-28,1.600000023841858,1.7000000476837158,6.2500013969838415,1.8450000286102295,1.7000000476837158,1.830000042915344,2829800,767600.0,3.686555497655029,8.52941040349258,0.0,7.647058328542757,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
ALXO,2026-01-30,1.5700000524520874,1.825000047683716,16.24203737021279,1.9299999475479128,1.6299999952316284,1.7400000095367432,2238200,221430.0,10.1079347875175,5.7534190203152225,10.68493410175966,-4.657536215128018,,,,,,,,,,,,,,10-20%,$1-3,no_data,,,,,,,,
ACCL,2026-02-02,1.2999999523162842,1.590000033378601,22.307699361496685,1.659999966621399,1.2300000190734863,1.5199999809265137,17576500,2766660.0,6.352967115583411,4.40251143228309,22.64150985834563,-4.402518929722526,,,,,,,,,,,,,,20-50%,$1-3,no_data,,,,,,,,
ACRE,2026-02-10,5.110000133514404,5.610000133514404,9.784735556476882,5.889999866485596,5.320000171661377,5.710000038146973,2141500,592060.0,3.6170320575617336,4.991082465372146,5.169339660449452,1.7825294519186234,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
