symbol,name,exchange,last_close,last_volume
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,10.5600004196167,333.0
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,10.0,491.0
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,9.9399995803833,0.0
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,10.010000228881836,14628.0
AAME,Atlantic American Corporation - Common Stock,NASDAQ,1.5499999523162842,9993.0
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,7.519999980926514,195173.0
ABAT,American Battery Technology Company - Common Stock,NASDAQ,2.319999933242798,2982716.0
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,5.920000076293945,4206781.0
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,6.800000190734863,713758.0
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,0.722000002861023,30244.0
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,2.240000009536743,295383.0
ABR,Arbor Realty Trust Common Stock,NYSE,5.170000076293945,3589903.0
ABSI,Absci Corporation - Common Stock,NASDAQ,8.399999618530273,2056225.0
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,6.539999961853027,1528649.0
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,1.4900000095367432,438362.0
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,4.619999885559082,1701734.0
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,1.0099999904632568,113281.0
ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE,10.5600004196167,366526.0
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,10.0,43905.0
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,2.9100000858306885,2306741.0
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,2.880000114440918,125578.0
ACCO,Acco Brands Corporation Common Stock,NYSE,4.360000133514404,739049.0
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,4.505000114440918,3972749.0
ACEL,"Accel Entertainment, Inc. ",NYSE,12.430000305175781,414786.0
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,9.15999984741211,43206.0
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ,9.979999542236328,2900.0
ACH,"Accendra Health, Inc. Common Stock",NYSE,2.9600000381469727,997868.0
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,5.199999809265137,22215073.0
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,6.659999847412109,878003.0
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,11.850000381469727,7984861.0
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,10.949999809265137,242519.0
ACIU,AC Immune SA - Common Stock,NASDAQ,2.2899999618530273,144514.0
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,8.520000457763672,92371.0
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,2.359999895095825,23260.0
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,14.739999771118164,45344.0
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,4.699999809265137,721618.0
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,6.360000133514404,5668529.0
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,1.6399999856948853,316702.0
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,4.539999961853027,679878.0
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,1.1299999952316284,175594.0
ACVA,ACV Auctions Inc. Class A Common Stock,NYSE,7.679999828338623,2633514.0
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,1.4700000286102295,44312.0
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,10.100000381469727,0.0
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,4.230000019073486,434083.0
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,9.4399995803833,634212.0
ADCT,ADC Therapeutics SA Common Shares,NYSE,1.0700000524520874,970753.0
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,0.7390000224113464,11530214.0
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,4.050000190734863,94941.0
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,9.260000228881836,3675872.0
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,11.569999694824219,3365.0
ADT,ADT Inc. Common Stock,NYSE,7.699999809265137,9278900.0
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,7.909999847412109,2935499.0
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,7.940000057220459,281641.0
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ,10.029999732971191,0.0
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,13.100000381469727,228105.0
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,4.130000114440918,54940.0
AEG,Aegon Ltd. New York Registry Shares,NYSE,9.5,5559734.0
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,0.33000001311302185,1469931.0
AEI,Alset Inc. - Common Stock,NASDAQ,1.090000033378601,2103.0
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,3.25,151136.0
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,5.570000171661377,25838.0
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,6.400000095367432,3756.0
AES,The AES Corporation Common Stock,NYSE,14.699999809265137,5881200.0
AESI,Atlas Energy Solutions Inc. Common Stock,NYSE,10.670000076293945,3755835.0
AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,NASDAQ,9.930000305175781,178900.0
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,NYSE,11.529999732971191,34092.0
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,5.940000057220459,35605.0
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,2.7799999713897705,85604.0
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,12.050000190734863,2910.0
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,10.489999771118164,10210.0
AFYA,Afya Limited - Class A Common Shares,NASDAQ,13.630000114440918,78716.0
AGBK,AGI Inc Class A Common Shares,NYSE,6.880000114440918,375751.0
AGEN,Agenus Inc. - Common Stock,NASDAQ,7.78000020980835,1448204.0
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,14.319999694824219,28960.0
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,0.9950000047683716,53095.0
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,10.670000076293945,14784683.0
AGNT,"AGNT, Inc. - Common Stock",NASDAQ,4.050000190734863,1575561.0
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,9.1899995803833,266103.0
AGRO,Adecoagro S.A. Common Shares,NYSE,9.289999961853027,608295.0
AGRZ,Agroz Inc. - Class A Ordinary Shares,NASDAQ,0.31470000743865967,154817.0
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,6.494999885559082,9959888.0
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ,1.7100000381469727,102941.0
AHRT,"AH Realty Trust, Inc. Common Stock",NYSE,6.940000057220459,573227.0
AHT,Ashford Hospitality Trust Inc Common Stock,NYSE,3.240000009536743,15823.0
AI,"C3.ai, Inc. Class A Common Stock",NYSE,9.90999984741211,2518836.0
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,4.179999828338623,274614.0
AIBZ,Bitzero Holdings Inc. - Common Shares,NASDAQ,7.230000019073486,272579.0
AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ,0.44130000472068787,66368.0
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ,1.690000057220459,10382.0
AIFC,AI Financial Corporation - Common Stock,NASDAQ,0.42100000381469727,1072876.0
